22023 17472
11109 7416
17334 8478
7726 6925
10791 10171
23106 25041
23775 26410
16826 13991
23352 7565
17762 9942
17472 18336
14130 14160
10171 8033
16791 6805
7112 6925
27462 27462
27981 21049
7471 7439
14435 8135
7882 7819
19137 19912
12564 12564
20626 10171
14429 14001
16376 14777
9386 15960
7882 7813
16173 6753
9985 7898
12834 9274
13815 16227
12095 12109
7885 10997
23655 17620
9386 25306
8757 9014
10585 13299
11701 23023
19500 15130
11169 9014
13795 13693
7454 8998
9014 7435
25163 26227
24014 24704
15408 14576
8946 14208
7301 7071
27332 25936
16422 10171
9014 7439
21971 9386
19916 8774
21436 11103
15037 10214
21655 9386
11109 7435
11169 9006
8280 8774
23284 15940
13497 12411
10663 10904
24579 24623
10633 13575
24579 24626
8946 16877
25180 25181
10578 10663
28167 7898
15412 17664
20790 14785
15799 15799
10998 10998
14665 10904
9932 17339
21493 7565
10171 18336
7318 7726
16701 10171
16676 15646
8646 8646
14806 12743
15429 15429
11715 11925
13497 12420
16227 6704
13847 13299
6798 6922
13093 11273
12002 12151
12650 12661
11753 11709
15130 7885
17137 17137
19500 27120
9485 9445
7495 6765
8684 7898
14669 10214
8440 7819
11092 11218
9239 10288
13884 13299
21608 10171
24752 22023
10880 12357
12035 11617
14105 10171
22434 22278
10904 9394
15923 8135
14044 14033
23221 20081
14377 14405
9387 13158
6805 6765
7443 18357
8372 7943
15130 15596
16243 19500
8124 7898
14755 12963
8714 8533
13163 14879
9929 9014
28025 17620
15301 14717
23373 15540
23713 11617
21727 21727
16422 22193
22100 22084
7585 9014
18566 24704
10562 8774
21366 10171
21117 21073
7429 8149
7807 7898
12601 14034
26239 8046
14998 9386
7726 6909
9123 7737
6838 7446
8693 9261
18589 13299
26322 8946
7565 9386
9781 9781
13352 8774
8983 6773
7993 8226
28097 26149
16326 16337
12627 10904
15145 13693
26185 16394
6838 7435
14130 14136
27006 27006
13362 17537
9193 9193
7687 8072
8886 9006
14130 14130
12035 11608
11781 9387
6805 6774
10904 9387
19896 7943
20740 18937
27370 11103
10388 10214
9386 15932
10904 9386
11781 9386
7263 9261
11635 14604
7898 7435
8116 8116
10585 13208
21764 21764
21190 21114
16875 8946
7585 9065
13157 9006
23210 14576
6754 7942
7813 8046
9553 9381
6910 7435
7156 13273
11328 19500
9553 9387
25905 23877
9942 13654
22347 22347
12479 24281
14897 8774
10754 10171
14952 7604
7898 7443
11693 9878
26297 20088
15540 19500
10804 10171
8001 8001
8816 7565
9065 11550
16939 8774
9316 7565
16826 13905
10070 7467
20226 7898
10425 9014
17671 22023
16782 16782
10232 9261
13059 7019
20799 8946
